                    *********************************************************************************
                    *  Z= 71 A=177: Positive-Parity Spin-dependent Level Density [MeV-1] for LU177  *
  16.00  0.997  5.64E+10 3.90E+10 6.47E+11 8.58E+08 1.70E+09 2.48E+09 3.17E+09 3.50E+09 3.65E+09 3.52E+09 3.40E+09 3.09E+09 2.73E+09 2.36E+09 1.95E+09 1.58E+09 1.27E+09 9.67E+08 7.42E+08 5.70E+08 3.94E+08 2.98E+08 2.17E+08 1.54E+08 1.10E+08 7.75E+07 5.58E+07 3.92E+07 2.55E+07 1.77E+07 1.15E+07 8.47E+06 4.41E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  1.028  1.11E+11 7.12E+10 1.19E+12 1.52E+09 3.01E+09 4.44E+09 5.81E+09 6.34E+09 6.63E+09 6.31E+09 6.19E+09 5.68E+09 5.03E+09 4.32E+09 3.61E+09 2.94E+09 2.37E+09 1.81E+09 1.39E+09 1.08E+09 7.47E+08 5.71E+08 4.21E+08 3.01E+08 2.15E+08 1.53E+08 1.11E+08 7.85E+07 5.13E+07 3.61E+07 2.35E+07 1.73E+07 9.12E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  1.058  2.12E+11 1.30E+11 2.20E+12 2.68E+09 5.32E+09 7.97E+09 1.06E+10 1.15E+10 1.20E+10 1.13E+10 1.12E+10 1.04E+10 9.25E+09 7.93E+09 6.68E+09 5.47E+09 4.43E+09 3.40E+09 2.61E+09 2.05E+09 1.42E+09 1.10E+09 8.15E+08 5.86E+08 4.20E+08 3.01E+08 2.19E+08 1.57E+08 1.03E+08 7.34E+07 4.83E+07 3.54E+07 1.88E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  1.087  3.96E+11 2.38E+11 4.07E+12 4.73E+09 9.40E+09 1.43E+10 1.94E+10 2.08E+10 2.18E+10 2.03E+10 2.04E+10 1.92E+10 1.70E+10 1.46E+10 1.24E+10 1.02E+10 8.26E+09 6.37E+09 4.89E+09 3.90E+09 2.69E+09 2.10E+09 1.58E+09 1.14E+09 8.22E+08 5.94E+08 4.35E+08 3.14E+08 2.08E+08 1.49E+08 9.90E+07 7.23E+07 3.89E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  1.115  7.33E+11 4.36E+11 7.51E+12 8.35E+09 1.66E+10 2.56E+10 3.55E+10 3.76E+10 3.96E+10 3.65E+10 3.72E+10 3.53E+10 3.13E+10 2.67E+10 2.29E+10 1.89E+10 1.54E+10 1.19E+10 9.16E+09 7.40E+09 5.10E+09 4.03E+09 3.06E+09 2.23E+09 1.61E+09 1.17E+09 8.63E+08 6.29E+08 4.18E+08 3.04E+08 2.03E+08 1.48E+08 8.04E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  1.182  3.75E+12 1.98E+12 3.49E+13 3.46E+10 6.89E+10 1.10E+11 1.61E+11 1.66E+11 1.75E+11 1.57E+11 1.66E+11 1.61E+11 1.43E+11 1.22E+11 1.07E+11 8.90E+10 7.32E+10 5.75E+10 4.40E+10 3.67E+10 2.53E+10 2.05E+10 1.60E+10 1.18E+10 8.60E+09 6.39E+09 4.78E+09 3.56E+09 2.40E+09 1.79E+09 1.22E+09 8.82E+08 4.93E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  1.246  1.75E+13 8.99E+12 1.63E+14 1.44E+11 2.86E+11 4.74E+11 7.27E+11 7.32E+11 7.77E+11 6.77E+11 7.39E+11 7.39E+11 6.58E+11 5.54E+11 4.99E+11 4.19E+11 3.48E+11 2.77E+11 2.12E+11 1.82E+11 1.25E+11 1.04E+11 8.37E+10 6.25E+10 4.60E+10 3.49E+10 2.65E+10 2.02E+10 1.38E+10 1.06E+10 7.38E+09 5.27E+09 3.02E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  1.365  5.09E+14 1.88E+14 3.60E+15 2.47E+12 4.92E+12 8.78E+12 1.49E+13 1.43E+13 1.53E+13 1.26E+13 1.47E+13 1.55E+13 1.39E+13 1.15E+13 1.09E+13 9.31E+12 7.86E+12 6.40E+12 4.90E+12 4.49E+12 3.08E+12 2.70E+12 2.29E+12 1.75E+12 1.32E+12 1.04E+12 8.12E+11 6.47E+11 4.53E+11 3.68E+11 2.68E+11 1.88E+11 1.14E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  1.577  4.28E+17 8.52E+16 1.86E+18 7.31E+14 1.46E+15 3.01E+15 6.24E+15 5.41E+15 5.90E+15 4.35E+15 5.80E+15 6.81E+15 6.14E+15 4.97E+15 5.14E+15 4.59E+15 4.01E+15 3.43E+15 2.62E+15 2.73E+15 1.86E+15 1.82E+15 1.71E+15 1.38E+15 1.08E+15 9.20E+14 7.65E+14 6.65E+14 4.92E+14 4.46E+14 3.55E+14 2.39E+14 1.61E+14 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  1.763  1.70E+18 1.70E+17 3.71E+18 1.46E+15 2.91E+15 6.01E+15 1.25E+16 1.08E+16 1.18E+16 8.68E+15 1.16E+16 1.36E+16 1.23E+16 9.93E+15 1.03E+16 9.16E+15 8.02E+15 6.86E+15 5.23E+15 5.45E+15 3.73E+15 3.63E+15 3.41E+15 2.77E+15 2.15E+15 1.84E+15 1.53E+15 1.33E+15 9.84E+14 8.92E+14 7.09E+14 4.77E+14 3.22E+14 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  1.931  4.26E+18 3.40E+17 7.42E+18 2.91E+15 5.81E+15 1.20E+16 2.49E+16 2.16E+16 2.35E+16 1.73E+16 2.31E+16 2.72E+16 2.45E+16 1.98E+16 2.05E+16 1.83E+16 1.60E+16 1.37E+16 1.05E+16 1.09E+16 7.45E+15 7.25E+15 6.82E+15 5.53E+15 4.30E+15 3.68E+15 3.06E+15 2.66E+15 1.97E+15 1.78E+15 1.42E+15 9.53E+14 6.44E+14 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  2.086  9.35E+18 6.79E+17 1.48E+19 5.82E+15 1.16E+16 2.40E+16 4.98E+16 4.31E+16 4.70E+16 3.46E+16 4.62E+16 5.43E+16 4.89E+16 3.96E+16 4.10E+16 3.66E+16 3.20E+16 2.74E+16 2.09E+16 2.18E+16 1.49E+16 1.45E+16 1.36E+16 1.10E+16 8.60E+15 7.35E+15 6.11E+15 5.31E+15 3.93E+15 3.57E+15 2.83E+15 1.91E+15 1.29E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  2.230  1.95E+19 1.36E+18 2.96E+19 1.16E+16 2.32E+16 4.79E+16 9.94E+16 8.60E+16 9.38E+16 6.91E+16 9.23E+16 1.09E+17 9.77E+16 7.92E+16 8.19E+16 7.31E+16 6.40E+16 5.47E+16 4.17E+16 4.35E+16 2.97E+16 2.90E+16 2.73E+16 2.21E+16 1.72E+16 1.47E+16 1.22E+16 1.06E+16 7.86E+15 7.13E+15 5.66E+15 3.81E+15 2.57E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  2.365  3.99E+19 2.71E+18 5.92E+19 2.32E+16 4.63E+16 9.57E+16 1.99E+17 1.72E+17 1.87E+17 1.38E+17 1.84E+17 2.17E+17 1.95E+17 1.58E+17 1.64E+17 1.46E+17 1.28E+17 1.09E+17 8.34E+16 8.69E+16 5.94E+16 5.79E+16 5.45E+16 4.41E+16 3.43E+16 2.94E+16 2.44E+16 2.12E+16 1.57E+16 1.43E+16 1.13E+16 7.62E+15 5.15E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  2.493  8.05E+19 5.42E+18 1.18E+20 4.63E+16 9.24E+16 1.91E+17 3.97E+17 3.43E+17 3.74E+17 2.76E+17 3.68E+17 4.33E+17 3.90E+17 3.16E+17 3.27E+17 2.92E+17 2.55E+17 2.18E+17 1.67E+17 1.74E+17 1.19E+17 1.16E+17 1.09E+17 8.82E+16 6.86E+16 5.87E+16 4.88E+16 4.24E+16 3.14E+16 2.85E+16 2.26E+16 1.52E+16 1.03E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  2.615  1.62E+20 1.08E+19 2.36E+20 9.24E+16 1.84E+17 3.81E+17 7.92E+17 6.86E+17 7.48E+17 5.51E+17 7.35E+17 8.65E+17 7.79E+17 6.31E+17 6.53E+17 5.83E+17 5.10E+17 4.37E+17 3.33E+17 3.47E+17 2.37E+17 2.31E+17 2.18E+17 1.76E+17 1.37E+17 1.17E+17 9.75E+16 8.49E+16 6.28E+16 5.70E+16 4.53E+16 3.04E+16 2.06E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  2.731  3.24E+20 2.16E+19 4.72E+20 1.85E+17 3.68E+17 7.62E+17 1.58E+18 1.37E+18 1.49E+18 1.10E+18 1.47E+18 1.73E+18 1.56E+18 1.26E+18 1.31E+18 1.16E+18 1.02E+18 8.72E+17 6.65E+17 6.93E+17 4.74E+17 4.62E+17 4.35E+17 3.52E+17 2.74E+17 2.35E+17 1.95E+17 1.70E+17 1.25E+17 1.14E+17 9.05E+16 6.09E+16 4.11E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  2.842  6.48E+20 4.32E+19 9.43E+20 3.68E+17 7.35E+17 1.52E+18 3.16E+18 2.74E+18 2.98E+18 2.20E+18 2.93E+18 3.45E+18 3.11E+18 2.52E+18 2.61E+18 2.33E+18 2.04E+18 1.74E+18 1.33E+18 1.39E+18 9.47E+17 9.23E+17 8.69E+17 7.04E+17 5.48E+17 4.69E+17 3.90E+17 3.39E+17 2.51E+17 2.28E+17 1.81E+17 1.22E+17 8.22E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  2.950  1.30E+21 8.63E+19 1.88E+21 7.36E+17 1.47E+18 3.04E+18 6.32E+18 5.46E+18 5.96E+18 4.39E+18 5.86E+18 6.90E+18 6.21E+18 5.03E+18 5.21E+18 4.65E+18 4.07E+18 3.48E+18 2.66E+18 2.77E+18 1.89E+18 1.85E+18 1.74E+18 1.41E+18 1.10E+18 9.37E+17 7.79E+17 6.78E+17 5.02E+17 4.55E+17 3.62E+17 2.43E+17 1.64E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  3.053  2.59E+21 1.72E+20 3.77E+21 1.47E+18 2.93E+18 6.07E+18 1.26E+19 1.09E+19 1.19E+19 8.76E+18 1.17E+19 1.38E+19 1.24E+19 1.01E+19 1.04E+19 9.29E+18 8.13E+18 6.96E+18 5.31E+18 5.53E+18 3.78E+18 3.69E+18 3.47E+18 2.81E+18 2.19E+18 1.87E+18 1.56E+18 1.36E+18 1.00E+18 9.10E+17 7.23E+17 4.86E+17 3.29E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  3.153  5.17E+21 3.44E+20 7.52E+21 2.93E+18 5.85E+18 1.21E+19 2.52E+19 2.18E+19 2.38E+19 1.75E+19 2.34E+19 2.75E+19 2.48E+19 2.01E+19 2.08E+19 1.86E+19 1.62E+19 1.39E+19 1.06E+19 1.11E+19 7.56E+18 7.37E+18 6.94E+18 5.63E+18 4.38E+18 3.74E+18 3.11E+18 2.71E+18 2.00E+18 1.82E+18 1.45E+18 9.72E+17 6.57E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  3.250  1.03E+22 6.88E+20 1.50E+22 5.85E+18 1.17E+19 2.42E+19 5.03E+19 4.35E+19 4.75E+19 3.49E+19 4.67E+19 5.50E+19 4.95E+19 4.01E+19 4.15E+19 3.71E+19 3.25E+19 2.78E+19 2.12E+19 2.21E+19 1.51E+19 1.47E+19 1.39E+19 1.12E+19 8.75E+18 7.48E+18 6.22E+18 5.42E+18 4.01E+18 3.64E+18 2.89E+18 1.94E+18 1.31E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  3.345  2.07E+22 1.37E+21 3.00E+22 1.17E+19 2.33E+19 4.83E+19 1.01E+20 8.69E+19 9.49E+19 6.98E+19 9.33E+19 1.10E+20 9.89E+19 8.01E+19 8.30E+19 7.41E+19 6.49E+19 5.55E+19 4.23E+19 4.42E+19 3.02E+19 2.94E+19 2.77E+19 2.25E+19 1.75E+19 1.50E+19 1.24E+19 1.08E+19 8.01E+18 7.27E+18 5.78E+18 3.89E+18 2.63E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  3.436  4.13E+22 2.75E+21 6.00E+22 2.33E+19 4.66E+19 9.65E+19 2.01E+20 1.74E+20 1.89E+20 1.39E+20 1.86E+20 2.20E+20 1.98E+20 1.60E+20 1.66E+20 1.48E+20 1.30E+20 1.11E+20 8.46E+19 8.82E+19 6.03E+19 5.88E+19 5.54E+19 4.49E+19 3.50E+19 2.99E+19 2.49E+19 2.16E+19 1.60E+19 1.45E+19 1.16E+19 7.77E+18 5.25E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  3.526  8.24E+22 5.49E+21 1.20E+23 4.66E+19 9.30E+19 1.93E+20 4.01E+20 3.47E+20 3.78E+20 2.78E+20 3.72E+20 4.39E+20 3.95E+20 3.20E+20 3.31E+20 2.96E+20 2.59E+20 2.22E+20 1.69E+20 1.76E+20 1.21E+20 1.18E+20 1.11E+20 8.98E+19 6.99E+19 5.98E+19 4.97E+19 4.33E+19 3.20E+19 2.91E+19 2.31E+19 1.55E+19 1.05E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 71 A=177: Negative-parity Spin-dependent Level Density [MeV-1] for LU177  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   0.25  0.125  1.00E+00 2.49E+00 2.93E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E+00 7.43E-01 7.43E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.176  2.00E+00 4.14E+00 3.85E+01 8.33E-01 6.19E-01 0.00E+00 0.00E+00 8.33E-01 6.19E-01 6.19E-01 6.19E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.216  3.00E+00 5.67E+00 5.53E+01 7.14E-01 5.30E-01 5.30E-01 5.30E-01 1.24E+00 5.30E-01 5.30E-01 5.30E-01 5.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.249  5.00E+00 9.96E+00 1.02E+02 7.14E-01 5.30E-01 1.25E+00 1.25E+00 2.49E+00 1.06E+00 1.06E+00 5.30E-01 5.30E-01 5.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.279  9.00E+00 2.24E+01 2.27E+02 1.24E+00 2.31E+00 3.03E+00 2.52E+00 4.98E+00 2.65E+00 2.14E+00 1.78E+00 5.30E-01 5.30E-01 5.41E-01 1.84E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.305  1.60E+01 3.47E+01 3.72E+02 1.24E+00 3.02E+00 4.10E+00 5.36E+00 6.93E+00 4.43E+00 2.67E+00 2.84E+00 1.78E+00 5.30E-01 5.41E-01 1.24E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.330  2.90E+01 7.10E+01 7.91E+02 2.68E+00 4.82E+00 8.38E+00 1.11E+01 1.12E+01 9.25E+00 8.35E+00 6.02E+00 3.38E+00 2.84E+00 7.25E-01 1.24E+00 1.06E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.00  0.353  5.10E+01 1.04E+02 1.21E+03 3.74E+00 8.03E+00 1.05E+01 1.29E+01 1.69E+01 1.30E+01 1.17E+01 8.70E+00 6.75E+00 4.43E+00 4.09E+00 1.24E+00 1.06E+00 5.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.25  0.374  8.70E+01 1.81E+02 2.14E+03 6.05E+00 1.24E+01 1.94E+01 2.29E+01 2.82E+01 2.23E+01 2.01E+01 1.64E+01 1.14E+01 8.35E+00 6.93E+00 4.43E+00 1.06E+00 1.06E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.394  1.41E+02 2.55E+02 3.12E+03 7.82E+00 1.63E+01 2.46E+01 3.29E+01 3.51E+01 3.33E+01 2.83E+01 2.31E+01 1.83E+01 1.28E+01 1.08E+01 6.56E+00 2.84E+00 1.06E+00 1.06E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
