                    *********************************************************************************
                    *  Z= 45 A=104: Positive-Parity Spin-dependent Level Density [MeV-1] for RH104  *
  16.00  1.301  1.26E+10 6.73E+09 7.00E+10 5.11E+08 5.53E+08 1.27E+09 9.14E+08 1.03E+09 4.59E+08 4.13E+08 2.87E+08 2.48E+08 1.94E+08 1.73E+08 1.47E+08 1.24E+08 1.01E+08 8.13E+07 6.33E+07 4.80E+07 3.55E+07 2.55E+07 1.79E+07 1.23E+07 8.22E+06 5.37E+06 3.45E+06 2.17E+06 1.34E+06 8.09E+05 4.84E+05 2.87E+05 3.78E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  1.341  2.10E+10 1.01E+10 1.05E+11 8.62E+08 9.32E+08 2.07E+09 1.33E+09 1.45E+09 5.18E+08 4.87E+08 3.52E+08 3.38E+08 2.84E+08 2.73E+08 2.43E+08 2.11E+08 1.75E+08 1.42E+08 1.11E+08 8.53E+07 6.37E+07 4.64E+07 3.29E+07 2.29E+07 1.55E+07 1.02E+07 6.66E+06 4.24E+06 2.66E+06 1.62E+06 9.78E+05 5.87E+05 7.90E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  1.380  3.36E+10 1.53E+10 1.60E+11 1.45E+09 1.57E+09 3.36E+09 1.94E+09 2.03E+09 5.86E+08 5.73E+08 4.31E+08 4.60E+08 4.18E+08 4.30E+08 4.03E+08 3.59E+08 3.01E+08 2.47E+08 1.96E+08 1.52E+08 1.14E+08 8.42E+07 6.05E+07 4.25E+07 2.91E+07 1.95E+07 1.29E+07 8.29E+06 5.27E+06 3.25E+06 1.98E+06 1.20E+06 1.65E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  1.418  5.31E+10 2.36E+10 2.48E+11 2.45E+09 2.64E+09 5.47E+09 2.83E+09 2.86E+09 6.63E+08 6.74E+08 5.27E+08 6.26E+08 6.13E+08 6.79E+08 6.66E+08 6.09E+08 5.18E+08 4.30E+08 3.45E+08 2.70E+08 2.05E+08 1.53E+08 1.11E+08 7.91E+07 5.48E+07 3.71E+07 2.48E+07 1.62E+07 1.04E+07 6.50E+06 4.00E+06 2.46E+06 3.44E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  1.454  8.33E+10 3.68E+10 3.92E+11 4.14E+09 4.45E+09 8.88E+09 4.12E+09 4.02E+09 7.49E+08 7.94E+08 6.46E+08 8.53E+08 9.01E+08 1.07E+09 1.10E+09 1.03E+09 8.92E+08 7.49E+08 6.07E+08 4.79E+08 3.69E+08 2.77E+08 2.04E+08 1.47E+08 1.03E+08 7.08E+07 4.79E+07 3.17E+07 2.07E+07 1.30E+07 8.08E+06 5.05E+06 7.18E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  1.543  2.76E+11 1.17E+11 1.31E+12 1.53E+10 1.64E+10 2.99E+10 1.06E+10 9.40E+09 1.02E+09 1.19E+09 1.07E+09 1.85E+09 2.35E+09 3.35E+09 3.89E+09 3.89E+09 3.47E+09 3.00E+09 2.49E+09 2.02E+09 1.59E+09 1.23E+09 9.33E+08 6.93E+08 5.00E+08 3.54E+08 2.48E+08 1.69E+08 1.14E+08 7.40E+07 4.70E+07 3.03E+07 4.52E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  1.626  9.14E+11 3.93E+11 4.72E+12 5.66E+10 6.04E+10 1.01E+11 2.71E+10 2.20E+10 1.38E+09 1.80E+09 1.78E+09 4.00E+09 6.15E+09 1.05E+10 1.37E+10 1.46E+10 1.35E+10 1.20E+10 1.02E+10 8.50E+09 6.88E+09 5.47E+09 4.26E+09 3.27E+09 2.43E+09 1.77E+09 1.28E+09 9.05E+08 6.32E+08 4.20E+08 2.73E+08 1.82E+08 2.85E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  1.781  1.42E+13 4.93E+12 7.08E+13 7.74E+11 8.18E+11 1.14E+12 1.78E+11 1.20E+11 2.55E+09 4.06E+09 4.91E+09 1.88E+10 4.20E+10 1.03E+11 1.70E+11 2.06E+11 2.05E+11 1.93E+11 1.73E+11 1.51E+11 1.28E+11 1.08E+11 8.91E+10 7.27E+10 5.73E+10 4.45E+10 3.44E+10 2.59E+10 1.93E+10 1.36E+10 9.21E+09 6.55E+09 1.13E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  2.057  5.35E+15 1.06E+15 2.38E+16 1.45E+14 1.50E+14 1.47E+14 7.70E+12 3.61E+12 8.71E+09 2.08E+10 3.73E+10 4.13E+11 1.96E+12 9.81E+12 2.63E+13 4.11E+13 4.70E+13 4.99E+13 4.93E+13 4.75E+13 4.47E+13 4.20E+13 3.89E+13 3.59E+13 3.18E+13 2.80E+13 2.48E+13 2.11E+13 1.79E+13 1.41E+13 1.05E+13 8.50E+12 1.77E+13 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  2.300  2.84E+16 3.55E+15 7.18E+16 2.89E+14 3.00E+14 2.92E+14 3.33E+14 1.08E+14 2.97E+10 1.06E+11 2.83E+11 9.09E+12 9.11E+13 9.38E+14 5.24E+13 8.21E+13 9.38E+13 9.97E+13 9.83E+13 9.49E+13 8.94E+13 8.39E+13 7.77E+13 7.18E+13 6.36E+13 5.59E+13 4.95E+13 4.22E+13 3.58E+13 2.82E+13 2.10E+13 1.70E+13 3.54E+13 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  2.519  6.26E+17 1.16E+17 2.19E+18 5.76E+14 5.98E+14 5.82E+14 1.44E+16 3.24E+15 1.01E+11 5.43E+11 2.15E+12 2.00E+14 4.25E+15 8.98E+16 1.04E+14 1.64E+14 1.87E+14 1.99E+14 1.96E+14 1.89E+14 1.78E+14 1.68E+14 1.55E+14 1.43E+14 1.27E+14 1.12E+14 9.90E+13 8.43E+13 7.17E+13 5.65E+13 4.20E+13 3.40E+13 7.08E+13 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  2.721  4.88E+19 9.52E+18 1.90E+20 1.15E+15 1.19E+15 1.16E+15 6.21E+17 9.72E+16 3.45E+11 2.78E+12 1.64E+13 4.40E+15 1.98E+17 8.59E+18 2.08E+14 3.27E+14 3.73E+14 3.97E+14 3.92E+14 3.78E+14 3.56E+14 3.35E+14 3.10E+14 2.87E+14 2.54E+14 2.23E+14 1.98E+14 1.69E+14 1.43E+14 1.13E+14 8.39E+13 6.79E+13 1.41E+14 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  2.909  4.40E+21 8.61E+20 1.77E+22 2.29E+15 2.38E+15 2.31E+15 2.69E+19 2.91E+18 1.18E+12 1.42E+13 1.24E+14 9.68E+16 9.22E+18 8.22E+20 4.15E+14 6.52E+14 7.45E+14 7.93E+14 7.83E+14 7.56E+14 7.12E+14 6.68E+14 6.20E+14 5.73E+14 5.07E+14 4.46E+14 3.95E+14 3.37E+14 2.86E+14 2.26E+14 1.68E+14 1.36E+14 2.83E+14 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  3.085  4.10E+23 8.03E+22 1.67E+24 4.57E+15 4.75E+15 4.60E+15 1.16E+21 8.74E+19 4.01E+12 7.27E+13 9.44E+14 2.13E+18 4.30E+20 7.86E+22 8.27E+14 1.30E+15 1.49E+15 1.58E+15 1.56E+15 1.51E+15 1.42E+15 1.33E+15 1.24E+15 1.14E+15 1.01E+15 8.92E+14 7.90E+14 6.73E+14 5.72E+14 4.51E+14 3.35E+14 2.71E+14 5.66E+14 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  3.252  3.88E+25 7.60E+24 1.59E+26 9.12E+15 9.47E+15 9.17E+15 5.01E+22 2.62E+21 1.37E+13 3.72E+14 7.17E+15 4.69E+19 2.00E+22 7.52E+24 1.65E+15 2.59E+15 2.97E+15 3.16E+15 3.12E+15 3.01E+15 2.84E+15 2.67E+15 2.47E+15 2.29E+15 2.03E+15 1.78E+15 1.58E+15 1.35E+15 1.14E+15 9.02E+14 6.70E+14 5.42E+14 1.13E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  3.411  3.69E+27 7.23E+26 1.51E+28 1.82E+16 1.89E+16 1.83E+16 2.17E+24 7.85E+22 4.66E+13 1.90E+15 5.45E+16 1.03E+21 9.33E+23 7.20E+26 3.29E+15 5.17E+15 5.92E+15 6.30E+15 6.23E+15 6.02E+15 5.67E+15 5.33E+15 4.94E+15 4.57E+15 4.05E+15 3.56E+15 3.16E+15 2.69E+15 2.29E+15 1.80E+15 1.34E+15 1.08E+15 2.26E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  3.563  3.52E+29 6.90E+28 1.45E+30 3.63E+16 3.77E+16 3.64E+16 9.36E+25 2.35E+24 1.59E+14 9.73E+15 4.14E+17 2.27E+22 4.35E+25 6.89E+28 6.55E+15 1.03E+16 1.18E+16 1.26E+16 1.24E+16 1.20E+16 1.13E+16 1.06E+16 9.87E+15 9.13E+15 8.09E+15 7.12E+15 6.31E+15 5.38E+15 4.57E+15 3.60E+15 2.68E+15 2.17E+15 4.52E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  3.708  3.37E+31 6.59E+30 1.38E+32 7.24E+16 7.51E+16 7.25E+16 4.05E+27 7.05E+25 5.42E+14 4.98E+16 3.14E+18 4.99E+23 2.03E+27 6.59E+30 1.31E+16 2.06E+16 2.36E+16 2.51E+16 2.48E+16 2.40E+16 2.26E+16 2.13E+16 1.97E+16 1.82E+16 1.62E+16 1.42E+16 1.26E+16 1.07E+16 9.14E+15 7.20E+15 5.36E+15 4.33E+15 9.04E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  3.848  3.22E+33 6.31E+32 1.32E+34 1.44E+17 1.50E+17 1.44E+17 1.75E+29 2.11E+27 1.85E+15 2.55E+17 2.39E+19 1.10E+25 9.44E+28 6.30E+32 2.60E+16 4.11E+16 4.71E+16 5.01E+16 4.96E+16 4.79E+16 4.52E+16 4.24E+16 3.94E+16 3.64E+16 3.23E+16 2.84E+16 2.52E+16 2.15E+16 1.83E+16 1.44E+16 1.07E+16 8.67E+15 1.81E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  3.983  3.08E+35 6.03E+34 1.27E+36 2.88E+17 2.99E+17 2.88E+17 7.56E+30 6.34E+28 6.30E+15 1.30E+18 1.82E+20 2.42E+26 4.40E+30 6.03E+34 5.19E+16 8.20E+16 9.39E+16 1.00E+17 9.89E+16 9.56E+16 9.02E+16 8.48E+16 7.87E+16 7.28E+16 6.46E+16 5.68E+16 5.04E+16 4.29E+16 3.65E+16 2.88E+16 2.14E+16 1.73E+16 3.61E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  4.114  2.95E+37 5.77E+36 1.21E+38 5.74E+17 5.96E+17 5.73E+17 3.27E+32 1.90E+30 2.15E+16 6.66E+18 1.38E+21 5.32E+27 2.05E+32 5.77E+36 1.04E+17 1.64E+17 1.87E+17 2.00E+17 1.98E+17 1.91E+17 1.80E+17 1.69E+17 1.57E+17 1.45E+17 1.29E+17 1.14E+17 1.01E+17 8.58E+16 7.30E+16 5.75E+16 4.28E+16 3.46E+16 7.22E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  4.240  2.82E+39 5.52E+38 1.16E+40 1.15E+18 1.19E+18 1.14E+18 1.41E+34 5.70E+31 7.32E+16 3.41E+19 1.05E+22 1.17E+29 9.55E+33 5.52E+38 2.06E+17 3.26E+17 3.74E+17 3.99E+17 3.94E+17 3.81E+17 3.60E+17 3.38E+17 3.14E+17 2.91E+17 2.58E+17 2.27E+17 2.01E+17 1.72E+17 1.46E+17 1.15E+17 8.55E+16 6.92E+16 1.44E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  4.363  2.70E+41 5.28E+40 1.11E+42 2.28E+18 2.37E+18 2.28E+18 6.10E+35 1.71E+33 2.50E+17 1.74E+20 7.96E+22 2.58E+30 4.45E+35 5.28E+40 4.11E+17 6.51E+17 7.47E+17 7.96E+17 7.87E+17 7.61E+17 7.19E+17 6.76E+17 6.27E+17 5.81E+17 5.15E+17 4.54E+17 4.02E+17 3.43E+17 2.92E+17 2.30E+17 1.71E+17 1.38E+17 2.89E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  4.483  2.58E+43 5.05E+42 1.06E+44 4.56E+18 4.73E+18 4.53E+18 2.64E+37 5.12E+34 8.51E+17 8.91E+20 6.05E+23 5.67E+31 2.07E+37 5.05E+42 8.20E+17 1.30E+18 1.49E+18 1.59E+18 1.57E+18 1.52E+18 1.44E+18 1.35E+18 1.25E+18 1.16E+18 1.03E+18 9.06E+17 8.03E+17 6.85E+17 5.83E+17 4.60E+17 3.42E+17 2.77E+17 5.77E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  4.599  2.47E+45 4.83E+44 1.02E+46 9.09E+18 9.43E+18 9.03E+18 1.14E+39 1.53E+36 2.90E+18 4.56E+21 4.60E+24 1.25E+33 9.66E+38 4.83E+44 1.64E+18 2.59E+18 2.97E+18 3.17E+18 3.14E+18 3.04E+18 2.87E+18 2.70E+18 2.50E+18 2.32E+18 2.06E+18 1.81E+18 1.61E+18 1.37E+18 1.17E+18 9.19E+17 6.83E+17 5.53E+17 1.15E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 45 A=104: Negative-parity Spin-dependent Level Density [MeV-1] for RH104  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   0.25  0.163  1.00E+00 2.51E+00 1.79E+01 0.00E+00 1.70E-01 3.40E-01 1.17E+00 8.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.230  2.00E+00 6.51E+00 3.54E+01 7.11E-01 2.09E+00 5.67E-01 1.33E+00 1.81E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.282  4.00E+00 1.01E+01 6.28E+01 6.09E-01 2.11E+00 2.16E+00 2.22E+00 1.97E+00 1.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.325  7.00E+00 1.23E+01 7.71E+01 6.09E-01 2.23E+00 3.11E+00 2.82E+00 2.21E+00 1.32E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.364  1.10E+01 2.41E+01 1.35E+02 4.76E+00 4.53E+00 3.55E+00 5.21E+00 3.07E+00 2.40E+00 6.07E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.398  1.80E+01 3.17E+01 2.00E+02 4.78E+00 6.20E+00 4.63E+00 5.33E+00 4.99E+00 3.69E+00 1.44E+00 0.00E+00 4.97E-02 5.93E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.430  2.90E+01 5.42E+01 3.39E+02 9.51E+00 1.17E+01 7.15E+00 8.70E+00 5.57E+00 6.44E+00 2.25E+00 8.79E-01 1.24E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.00  0.460  4.60E+01 7.73E+01 5.44E+02 8.91E+00 1.56E+01 1.05E+01 1.28E+01 9.80E+00 8.20E+00 5.44E+00 3.25E+00 2.07E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.25  0.488  7.30E+01 1.39E+02 1.03E+03 1.38E+01 2.81E+01 1.77E+01 2.28E+01 1.92E+01 1.17E+01 1.06E+01 8.65E+00 4.70E+00 1.90E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.514  1.17E+02 2.15E+02 1.52E+03 3.04E+01 4.18E+01 2.58E+01 3.14E+01 2.62E+01 2.46E+01 1.40E+01 1.05E+01 7.92E+00 2.02E+00 1.21E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
